Group,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Less than 5 years,212.2,213.3,211.3,207.9,201.9,196.2,190.6,186.3,183.4,181.5,176.6,175.535
From 5 to 9 years,204.4,204,206.5,209.6,210.2,209.4,208.1,204.4,199.9,194,182.5,181.445
From 10 to 14 years,233.1,222.9,213.7,207,203.9,201.8,199.1,199.9,201.4,201.7,196.5,195.436
From 15 to 19 years,243.6,246.1,245.9,243.6,239.4,230.8,218.9,208.6,201.1,197.8,190.6,188.729
From 20 to 24 years,260.6,256.1,251.9,247.9,244.5,242.5,242.1,240.8,239.3,236,214.2,208.852
From 25 to 29 years,287.7,282.3,278.3,271.2,262.1,257.3,248.1,241.4,238.3,237.6,216.5,214.023
From 30 to 34 years,294.7,295.5,294.7,293.2,289.1,282.5,272.5,265.2,258.1,251.7,230.5,227.551
From 35 to 39 years,285.1,284.7,286.1,288.3,288.7,289,286.2,282.9,281.6,279.4,258.5,255.617
From 40 to 44 years,285.1,281,278.4,277.1,276.5,277.9,275,274.6,276.8,279.1,269.5,267.349
From 45 to 49 years,306.9,303.2,299.2,295.2,286.7,277.4,271.1,267.2,266.5,267.7,262.4,260.146
From 50 to 54 years,319.7,316.2,313.2,306.3,299.8,297,291.9,286.9,283,276.2,263.2,260.056
From 55 to 59 years,314.1,318.2,315.1,315.1,310.4,306.5,302.8,299.6,293.1,287.7,281.5,279.504
From 60 to 64 years,273.8,275,283.8,286.8,291.2,295.8,299.9,297.4,297.9,294.6,290,288.351
From 65 to 69 years,200.8,205.3,209.4,219.8,236,251.8,253,261.2,264.5,269.8,278.2,279.106
From 70 to 74 years,212.3,209,204.9,199.3,188,177.9,182.1,186.1,195.7,210.9,228.6,228.612
75 years or over,346.5,354.8,363.3,370.1,375.2,380.5,383.1,385.3,384.7,382,359.7,361.521
Total,4280.6,4267.6,4255.7,4238.4,4203.6,4174.3,4124.5,4087.8,4065.3,4047.7,3899,3871.833
